,id,repost_of,name,url,datetime,last_updated,price,where,has_image,geotag,deleted
22,7391096558,,Spacious Room $895,https://losangeles.craigslist.org/sfv/roo/d/pacoima-spacious-room-895/7391096558.html,2021-10-21 10:25,2021-10-21 10:25,$895,Lake View Terrace san fernando valley ,True,"(34.274853, -118.378029)",False
23,7397219462,,1bed 1 bath private entrance room w/ pool + parking,https://losangeles.craigslist.org/sfv/roo/d/northridge-1bed-bath-private-entrance/7397219462.html,2021-10-21 10:25,2021-10-21 10:25,"$1,300",Northridge san fernando valley ,True,"(34.222703, -118.549119)",False
24,7397217368,7388415483,Private room and bathroom for rent in Santa Clarita Home,https://losangeles.craigslist.org/sfv/roo/d/canyon-country-private-room-and/7397217368.html,2021-10-21 10:21,2021-10-21 10:21,$900,Canyon Country san fernando valley ,True,"(34.4132, -118.426)",False
25,7397200628,7370441863,Room for rent,https://losangeles.craigslist.org/sfv/roo/d/pasadena-room-for-rent/7397200628.html,2021-10-21 09:53,2021-10-21 09:53,$850,Pasadena san fernando valley ,False,"(34.174884, -118.131904)",False
26,7394677947,7379927689,Room 4 Rent - PVT BD & BA - in SHARED 3+2 Apt,https://losangeles.craigslist.org/sfv/roo/d/sherman-oaks-room-rent-pvt-bd-ba-in/7394677947.html,2021-10-21 09:50,2021-10-21 09:50,"$1,000",Sherman Oaks san fernando valley ,True,"(34.161001, -118.439741)",False
27,7397125649,7387039516,Room for rent available in beautiful Hollywood hills,https://losangeles.craigslist.org/sfv/roo/d/los-angeles-room-for-rent-available-in/7397125649.html,2021-10-21 07:45,2021-10-21 07:45,"$1,000",Hollywood hills/Studio city/Universal Studios san fernando valley ,False,"(34.1156, -118.3305)",False
28,7394730135,7337328209,Beautiful Private Room with own Bathroom and balcony,https://losangeles.craigslist.org/sfv/roo/d/sherman-oaks-beautiful-private-room/7394730135.html,2021-10-21 00:07,2021-10-21 00:07,"$1,450",Sherman Oaks san fernando valley ,False,"(34.155919, -118.457515)",False
29,7397005641,2381829842,Small Studio like w/ private entrance/bar sink/bath close to CSUN,https://losangeles.craigslist.org/sfv/roo/d/northridge-small-studio-like-private/7397005641.html,2021-10-20 20:16,2021-10-20 20:16,$695,NORTHRIDGE san fernando valley ,True,"(34.243524, -118.562737)",False
30,7396049983,7291133360,*****  Room with Pvt Bath  *****      For Female!!,https://losangeles.craigslist.org/sfv/roo/d/winnetka-room-with-pvt-bath-for-female/7396049983.html,2021-10-20 19:31,2021-10-20 19:31,$800,Woodland Hills area san fernando valley ,True,"(34.2092, -118.5749)",False
31,7396991094,,Room For Rent,https://losangeles.craigslist.org/sfv/roo/d/canoga-park-room-for-rent/7396991094.html,2021-10-20 19:11,2021-10-20 19:11,"$1,000",West Hills san fernando valley ,True,"(34.2197, -118.6111)",False
